Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
TOTUSJZ,1.438918736884334,0.8040714280037919,0.0578806436092542,0.2245828083862052,0.0230224932376775
TOTUSJH,1.4008239116246326,0.8172404185756448,0.0453920648407103,0.2341250483568616,0.021394218382301
MEANGAM,0.662984397400432,0.5945389590232312,0.0298681249260008,0.0979648722060087,0.0316477597301431
MEANSHR,0.6541417401087616,0.6496489711287748,0.0328926925758812,0.1113244017235742,0.032955885935065
TOTFY,0.6066253890344633,0.3302397824428893,0.0960654608365149,0.3038025652200453,0.0368073656949664
MEANALP,0.5752529284710354,4.67559600963637e-05,5.025076033500078e-05,1.86881557672952e-06,2.3773538843127782e-06
EPSZ,0.5678493130797428,0.6688935028805321,0.0315752527216065,0.1108523709143547,0.0329079501804316
TOTFZ,0.5518186417878382,0.705693780066519,0.0530612667708656,0.1587910002992409,0.0245408720707313
SHRGT45,0.523887391865578,0.6643060989122401,0.0349186901959564,0.1116789706507973,0.0336561758331519
ABSNJZH,0.5153374935377855,0.7100136581403179,0.0087126866264394,0.2761016575008522,0.0270566201358817
EPSY,0.5027549593347007,0.2511519932011922,0.0437921945939465,0.0166042507610877,0.0100021822258809
MEANJZH,0.4505118613216416,0.1016426162594689,0.1512812517380286,0.015886522550672,0.0221967231115657
MEANGBH,0.4307775342598253,0.145557121284224,0.0308831423478162,0.0136718618564056,0.0048542939328593
MEANGBT,0.4171491853547767,0.5217351351603321,0.0668595728049126,0.0577960135366678,0.0150141900476275
SAVNCPP,0.4128681341233418,0.7357822386820172,0.0502119926500121,0.2691949951602233,0.0360942096274643
R_VALUE,0.3954956297524501,0.7958960871461929,0.0374730461690338,0.1658465720199675,0.0276904334355079
MEANJZD,0.3905636762583989,0.2174298670909483,0.0220733437372534,0.0126537296262672,0.0056392878391035
EPSX,0.3804611077250665,0.264709208301383,0.0123518507197011,0.0166763356937515,0.0068805938632619
TOTPOT,0.3283844131741336,-0.0005386704678248,0.0003606781052818,-0.001022997662162,0.0006766053921299
MEANGBZ,0.3226516056097023,0.4426735506875398,0.0529151228637572,0.0438592479003261,0.0131612630536718
TOTFX,0.3083362666893307,0.3399513949887192,0.1041056024848457,0.2340438085055091,0.071191577510051
MEANPOT,0.3002379024646583,-0.0014478171623815,0.0003586271375616,-0.0026465076146834,0.0006321157917802
TOTBSQ,0.2687737710090095,0.8042019794967462,0.0728948798422414,0.1966973358482212,0.0174929035215344
USFLUX,0.2519599622213488,0.7994786892488989,0.0591197627966717,0.1996163227892204,0.0214030797754239
