Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
ABSNJZH,0.0297872340425531,0.7246281678250021,0.0054137478040313,0.2399791537956696,0.0330510958722753
SAVNCPP,0.0264150943396226,0.7718493176452738,0.0395422662744885,0.2256078984884533,0.0288455299721517
TOTUSJH,0.0208333333333333,0.7913357216623934,0.0413500466606225,0.2200974710459302,0.0198874784576175
TOTBSQ,0.0193905817174515,0.7660009220816528,0.0864986308889161,0.1776554542981059,0.0270623066944945
TOTPOT,0.0182767624020887,-0.0004158816839623,0.0002321860996491,-0.0007957611890799,0.0004391628956137
TOTUSJZ,0.0153508771929824,0.8006346363081231,0.0607539869241543,0.22709473413687,0.019968367561057
TOTFZ,0.0150537634408602,0.6971185096735603,0.0495293754805849,0.1340911832078292,0.0274073076813877
USFLUX,0.0147058823529411,0.7925140467666859,0.0527816215793989,0.1793121549909173,0.0235297322397261
R_VALUE,0.0146750524109014,0.8033201712479512,0.0386352074320814,0.1887492543540237,0.0276460667065259
MEANSHR,0.0123456790123456,0.6585173918817994,0.0151949738447035,0.0903465631146961,0.0256559834861731
TOTFY,0.0123239436619718,0.5264100039328737,0.0537073083179283,0.2324149239188405,0.0277401810991292
SHRGT45,0.0121107266435986,0.6514929387348846,0.0104253258577748,0.0906305121482712,0.0272900154162172
TOTFX,0.0119453924914675,0.6953639837184155,0.0605038356732601,0.2103300363881625,0.0486660729131832
EPSZ,0.0112359550561797,0.6593712003221551,0.0099617660419632,0.0924921102679546,0.0272357290876019
MEANGAM,0.0109890109890109,0.6312964376151232,0.013840319405315,0.0857036080585558,0.0261191983453804
MEANGBT,0.0108359133126934,0.5224306650731311,0.0566922125126055,0.0569578896439374,0.0152816689693462
MEANJZH,0.0099431818181818,0.0204464731379274,0.1505299935430598,0.0017027388848253,0.0119345059142025
MEANGBZ,0.0095759233926128,0.4384101043899007,0.04547507134081,0.0407397624287833,0.0125494401363817
MEANJZD,0.0095759233926128,0.0004455630581092,0.0004850052429406,2.143160750786396e-05,2.1952599663527133e-05
MEANALP,0.0086848635235732,-0.038018179279111,0.0658494181226826,-0.0086091446853992,0.014911476004823
MEANGBH,0.0085261875761266,0.1445788799753805,0.0349773797486795,0.0127066218570445,0.0046782592846639
MEANPOT,0.008073817762399,0.0,0.0,0.0,0.0
EPSY,0.0075268817204301,0.4319623182415018,0.0236791124403563,0.033531989997954,0.0120518942449837
EPSX,0.0073917634635691,0.6575347575472537,0.0534178941702371,0.0837630087362812,0.0169696455827853
