Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
R_VALUE,1.814846150105796,0.7954758180057905,0.0392064217732029,0.1671850247394486,0.0272586609489829
EPSZ,1.3646317816280025,0.6695361743673454,0.0303118871541452,0.1101043278115559,0.0329769354400317
MEANGAM,1.3532616027017652,0.5938928238953277,0.0312629248563767,0.0965775392554124,0.0318388907836122
TOTUSJZ,1.3030943586554804,0.8038246873001134,0.057589470799492,0.2245805118796381,0.0229124458987789
TOTUSJH,1.2817971493501883,0.8159952152480269,0.0457057100622509,0.2303939912049822,0.0214239454590116
MEANALP,1.2069852029171442,-0.0451363804690035,0.0928175329154256,-0.0021808071317319,0.0042693595008404
SHRGT45,1.1966710264321896,0.6659616556830817,0.0296711489456815,0.1099146979754735,0.0329592154231846
MEANJZD,1.1341241312883443,0.2116543576915436,0.0212412712550773,0.012240997018337,0.0054961325007032
MEANGBZ,1.0017270749670784,0.442998308550226,0.0535938756542051,0.0439136135592523,0.0132439918650988
TOTFY,0.9861264150750636,0.324360345803946,0.0979756400687294,0.3090048134456271,0.0409250911734525
MEANGBH,0.9520456194961964,0.1461426244614949,0.0334316250671806,0.0134757882443251,0.0047560590594423
ABSNJZH,0.8837984175883182,0.7053503799725162,0.0156986146330423,0.279944414301332,0.0237695886723589
TOTFZ,0.79281569779082,0.7054758089702561,0.0528528249083828,0.1597253203241072,0.0245796989763424
EPSY,0.7922671541916231,0.2421077706524402,0.0379324699780821,0.0157330393082006,0.0092161571274984
MEANSHR,0.7343046612837922,0.6504639387128127,0.0299838360734191,0.110415844911361,0.0325913103711167
SAVNCPP,0.7229334381921705,0.7247721658100416,0.0461540263023031,0.2785253215084627,0.0360702591723681
USFLUX,0.7059427782378191,0.8000538823279176,0.0573115757168603,0.1987282927773204,0.0215147439561764
EPSX,0.7007943775741052,0.2516782663270127,0.0138755797491013,0.0155990284283807,0.0065345313886659
TOTPOT,0.675048064536661,-0.0005386704678248,0.0003606781052818,-0.001022997662162,0.0006766053921299
MEANJZH,0.6323676202182063,0.101057618952379,0.146716445083379,0.0146519940377652,0.019789946354926
MEANGBT,0.5442948041082124,0.5201569324669112,0.0647371896379777,0.0571614965279801,0.0150439856203377
MEANPOT,0.4558441675618686,4.36200562374441e-05,4.670875015658204e-05,2.598215129235274e-06,3.4179147940457487e-06
TOTBSQ,0.3920212232563884,0.8045084569963903,0.0705131945904501,0.1956080788874461,0.0180596924298493
TOTFX,0.305119019781887,0.3440972070947323,0.1006757461194846,0.2357250090342448,0.069610354370597
