Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
R_VALUE,0.0362847829076404,0.7951973270786961,0.0360746706612717,0.1634256629166102,0.0280536184114152
ABSNJZH,0.034607238642314,0.7092559500025382,0.0103632407882012,0.2756464481055002,0.0260288784206915
SAVNCPP,0.0344745869654969,0.7369764952165431,0.0524393625871297,0.2687557442830352,0.03630946130148
TOTUSJH,0.0325509942535318,0.816593095322891,0.0452800609336267,0.2326657014698796,0.0215508183692911
TOTUSJZ,0.0318323343202647,0.8036801653606638,0.0582501660909871,0.2268791525282507,0.0227011970116399
TOTPOT,0.0311901654385442,-0.0005386704678248,0.0003606781052818,-0.001022997662162,0.0006766053921299
TOTBSQ,0.0309270368418471,0.80412770103427,0.0728716761621217,0.1965955474203365,0.0175318760444629
USFLUX,0.0293290061012253,0.8000200409396987,0.0581438163688715,0.1991882885097367,0.021471295291079
MEANPOT,0.0272292481297064,-0.001324656231654,0.0004233292849346,-0.002439099603899,0.0007528986535413
TOTFZ,0.0264704693578127,0.7048308277906431,0.052147195255086,0.160529573854361,0.0244822001665008
TOTFY,0.0263464474508836,0.3331158432832257,0.0941528716578895,0.3022763138485285,0.0351752799911264
MEANJZD,0.0254986308411353,0.2069383994471889,0.0208226396086877,0.0119104734207673,0.0053827849864018
TOTFX,0.0252674345016853,0.3460475912121556,0.1012541137051665,0.2336888104238262,0.0687934919558283
SHRGT45,0.0232413049525237,0.6656836820784839,0.0324126466074827,0.1107171570892481,0.0333177186432301
EPSY,0.0231112845526705,0.2583210787326205,0.0374605028728919,0.0173584261961814,0.0101198984519047
MEANGBT,0.022671361725952,0.5202779928200691,0.0691297619176184,0.0574069026113474,0.0147102047072181
MEANSHR,0.0218173112322419,0.6510030177673868,0.0297159948358017,0.1101802025269271,0.0322615684080646
MEANGBZ,0.021746929819253,0.4439467768443239,0.0525646014257336,0.0433779620785276,0.0128389583681651
EPSZ,0.0215447202653523,0.6703639267738541,0.0301327166873525,0.110537456534496,0.032698150336397
MEANJZH,0.0208171661131191,0.0962018686793779,0.1432754080127209,0.0130378101397792,0.0180633831794823
MEANGAM,0.0196254754838841,0.5946921107478047,0.0291726127492507,0.0961075066370468,0.0315312951081642
EPSX,0.0188954299991589,0.2430270667611616,0.0123605646258798,0.0148520969097095,0.006166609707653
MEANALP,0.0186670000166539,-0.039529155458553,0.1224365268140017,-0.0032954050557237,0.0064479710518008
MEANGBH,0.0180556126527089,0.1488797982477863,0.0324094533284989,0.0141324738245669,0.0048783997053257
